id,name
280,Lülsdorf Nord
281,Lülsdorf Schulzentrum
2812,Sieglar Rathausstr./Kreisel
282,Wolffsohnstr.
283,Westfriedhof
284,Lacher Broch
285,Kolkrabenweg
286,Steinkauzweg
287,Bachstelzenweg
288,Goldammerweg
289,Vogelsanger Markt
29,Roonstr.
290,Falkenweg
291,Bocklemünd
292,WDR
293,Grevenbroicher Str.
294,Nattermannallee
295,Dohmengasse
296,Kochwiesenstr.
297,Auweilerweg
298,Ollenhauerring
299,Nüssenberger Str.
3,Poststr.
30,Friesenplatz
300,Görlinger Zentrum
301,Heinrich-Mann-Str.
302,Buschweg
303,Neusser Str./Gürtel
304,Florastr.
305,Lohsestr.
306,Nordstr.
307,Leipziger Platz
308,Niehler Str.
309,Kretzerstr.
31,Hans-Böckler-Platz/Bf West
310,Bergstr.
311,Sechzigstr.
312,Merheimer Platz
313,Zoo/Flora
314,Boltensternstr.
315,Slabystr.
316,Kinderkrankenhaus
317,Amsterdamer Str./Gürtel
318,Bodinusstr.
319,Riehler Gürtel
32,Christophstr./Mediapark
320,Seniorenzentrum Riehl
322,Ranzel Gewerbegebiet
323,Xantener Str.
324,Hahnwaldweg
325,Geldernstr./Parkgürtel
326,Escher Str.
327,Nievenheimer Str.
328,Ludwigsburger Str.
329,Frankenthaler Str.
33,Bismarckstr.
330,Ebernburgweg
331,Alzeyer Str.
332,Am Bilderstöckchen
334,Robert-Perthel-Str.
335,Longericher Str. Nord
336,Mollwitzstr.
337,Scheibenstr.
338,Nordfriedhof
339,Nibelungenplatz
34,Reichenspergerplatz
340,Schmiedegasse
341,Etzelstr.
342,Niehl
343,Niehl Sebastianstr.
344,Ranzel Kirche
345,Friedrich-Karl-Str./Niehler Str.
346,Drosselweg
347,Weidenpescher Str.
348,Graditzer Str.
349,Merkenicher Str.
35,Ebertplatz
350,Halfengasse
351,Niehler Damm
352,Niehl Betriebshof Nord
354,St.Joseph-Kirche
355,Meerfeldstr.
356,Longericher Str.
357,Longerich Friedhof
358,Longerich S-Bahn
359,Lindweilerweg
36,Hansaring
360,Dionysstr.
361,Dädalusring
362,Wilhelm-Sollmann-Str.
363,Altonaer Platz
364,Herforder Str.
365,Bremerhavener Str.
366,Esso
3665,Alte Post
367,Geestemünder Str.
368,Fordwerke Süd
369,Fordwerke Mitte
37,Worringer Str.
370,Fordwerke Nord
371,Bonn Bad Godesberg Stadthalle
372,Heinering
3729,Neufeldweg
373,Pesch Schulstr.
374,Auweiler
375,Hermann-Löns-Str.
3751,Frankenforst
376,Chorbuschstr.
377,Esch
378,Johannes-Prassel-Str.
379,Sinnersdorfer Mühle
38,Krefelder Wall
380,Pescher Weg
381,Otto-Müller-Str.
382,Gewerbegebiet Pesch
383,Donatusstr.
384,Heimersdorf
385,Chorweiler
386,Karl-Marx-Allee
387,Am Hetzepetsch
388,Herstattallee
389,Zypressenstr.
39,Deutzer Freiheit
390,Stallagsweg
391,Pulheimer Str.
392,Marienberger Weg
393,Lindweilerfeld
394,Unnauer Weg
395,Seeberg
396,Merianstr.
397,Fühlinger Weg
398,Friedhof Chorweiler
399,Blockstr.
4,Mauritiuskirche
40,Suevenstr.
400,Wezelostr.
401,Weiler
402,Volkhovener Weg
403,Weichselring
404,Haus Fühlingen
405,Fühlingen
406,Mennweg
407,Langel Fähre
408,Langel Nord
409,Langel Mohlenweg
41,Bf Deutz/Messe
410,Langel Kuhlenweg
411,Rheinkassel
412,Oranjehofstr.
413,Rheinlandstr.
414,Edsel-Ford-Str.
415,Robert-Bosch-Str.
416,Merkenich Mitte
417,Merkenich
418,Schlettstadter Str.
419,Kasselberg
42,Koelnmesse
420,Worringen S-Bahn
421,Walter-Dodde-Weg
422,Baptiststr.
423,Further Str.
424,Alte Römerstr.
425,Worringen Süd
426,St.-Tönnis-Str.
427,Hackhauser Weg
428,Wiedenfelder Weg
429,Bitterstr.
43,Propsthof Nord
430,Dornstr.
431,An den Kaulen
433,Rolshover Str.
434,Üdesheimer Weg
434,Üdesheimer Weg
435,Mühlenweiher
436,Andreaskloster
437,Ettore-Bugatti-Straße
438,Poll Salmstr.
439,Baumschulenweg
44,Deutz Fachhochschule
440,Schüttewerk
441,Alfred-Schütte-Allee
442,Poll Hauptstr.
443,Im Wasserfeld
444,Raiffeisenstr.
445,Poller Holzweg
446,Taubenholzweg
447,Zündorfer Weg
448,Siegburger Str.
449,Westhoven Kölner Str.
45,Severinsbrücke
450,Westhoven Berliner Str.
451,Ensen Gilgaustr.
452,Ensen Kloster
453,Albin-Köbis-Straße
454,Hansestr. Ost
455,Hansestr.
456,Humboldtstr.
457,Bonner Str.
458,Eil Kirche
459,Im Falkenhorst
46,Drehbrücke
460,Eil Heumarer Str.
461,Maarhäuser Weg
462,Hansestr. Süd
463,Rudolf-Diesel-Str.
464,Theodor-Heuss-Str.
465,Stresemannstr.
466,Porz Steinstr.
467,Porz Markt
468,Bf Porz
469,Siemensstr.
47,Poller Kirchweg
470,Kopernikusschule
471,Feuerwache
472,Urbach Breslauer Str.
473,Am Heiligenhäuschen
474,Antoniusstr.
475,Waldstr./Akazienweg
476,Grengel Mauspfad
477,Friedensstr.
478,Wiesenweg
479,Urbach Friedhof
48,Betzdorfer Str.
480,Friedrich-Hirsch-Str.
481,Elsdorf
482,Kaserne Nordtor
484,Dorotheenstraße
485,Berrenrather Str.
486,Zündorf
487,An St. Marien
488,Wahn S-Bahn
489,Wahn Kirche
49,Bf Deutz/LANXESS arena
490,Nachtigallenstr.
491,Wahn Friedhof
492,Linder Kreuz
493,Troisdorfer Str.
494,Linder Weg
495,Linder Mauspfad
496,Deutzer Ring
4969,Siegburg Heinrichstr.
497,Libur Kirche
498,Libur Margaretenstr.
499,Lucasstr.
5,Gürzenichstr.
500,Bieselweg
501,Messe Omnibushof
502,Kornblumenweg
503,Guntherstr.
504,Hagenstr.
509,DLR
51,Im Rheinpark
510,Urbach Waldstr.
511,Urbach Kaiserstr.
512,Kalk Post
513,Kalk Kapelle
514,Eythstr.
515,Steinmetzstr.
516,Remscheider Str.
517,Fuldaer Str.
518,Höhenberg Frankfurter Str.
519,Mülheimer Friedhof
52,Pohligstr.
520,Würzburger Str.
521,Vingst
522,Kürtenstr.
523,Oranienstr.
525,Feldbergstr.
526,Weilburger Str.
527,Am Grauen Stein
528,Esserstr.
529,Sachsenbergstr.
53,Herthastr.
530,Gremberg
531,Gießener Str.
532,Sauerlandstr.
533,Ostheim
534,Autobahn
535,Buchheimer Weg
536,Saarbrücker Str.
537,Servatiusstr.
539,Kalker Friedhof
54,Gottesweg
540,Merheim
541,Broichstr.
542,Bevingsweg
543,Ostmerheimer Str.
544,Wiehler Str.
545,Gewerbegebiet Broichstr.
546,Flehbachstr.
547,Brück Mauspfad
548,Erker Mühle
549,Kleinfeldchensweg
55,Kalscheurer Weg
550,Bückebergstr.
551,Olpener Str.
552,Im Langen Bruch
553,Steinweg
554,Porzer Str.
555,Röttgensweg
556,Rath-Heumar
557,Königsforst
558,Schloss Röttgen
559,Eiler Str.
56,Zollstockgürtel
560,Alte Forststr.
561,Baldurstr.
562,Europaring
563,Straßburger Platz
564,Ludwig-Quidde-Platz
565,Rösrather Str.
566,Auguste-Kowalski-Str.
567,Stegerwaldsiedlung
568,Grünstr.
569,Buchforst Waldecker Str.
57,Zollstock Südfriedhof
570,Mülheim Wiener Platz
571,Montanusstr.
572,Bf Mülheim
573,Graf-Adolf-Str.
574,Kieler Str.
577,Buchheim Frankfurter Str.
578,Buchheim Herler Str.
579,Wichheimer Str.
58,Zollstocksweg
580,Gronauer Str.
581,Rheinbergstr.
582,Beuthener Str.
583,Holweide Vischeringstr.
584,Maria-Himmelfahrt-Str.
585,Neufelder Str.
586,Holweide S-Bahn
587,Grunerstr.
588,Kühzällerweg
589,Gerhart-Hauptmann-Str.
59,Roisdorfer Str.
590,Buschfeldstr.
591,Burgwiesenstr.
592,Colonia-Allee
593,Schlagbaumsweg
594,Dellbrück Mauspfad
595,Dellbrück Hauptstr.
596,Thielenbruch
597,Eggerbachstr.
598,Ostfriedhof
599,Siedlung Mielenforst
6,Rathaus
60,Kendenicher Str.
600,Thurner Kamp
601,Von-Quadt-Str.
602,Diepeschrather Str.
603,Anemonenweg
604,Dellbrück S-Bahn
605,Neurather Weg
606,Im Weidenbruch
607,Am Emberg
608,Leuchterstr.
609,Odenthaler Str.
61,Oberer Komarweg
610,Honschaftsstr.
611,Am Springborn
612,Jasminweg
613,Sigwinstr.
614,Birkenweg
615,Höhscheider Weg
616,Lippeweg
617,Klosterhof
618,Hildegundweg
619,Am Portzenacker
62,Brüggener Str.
